lat	lon	title	description	icon	iconSize	iconOffset
37.5218478	139.9376242	Node	944844734	takasi.png	24,24	0,0
37.5216441	139.9376020	Node	944844735	takasi.png	24,24	0,0
37.5215588	139.9392340	Node	944844751	takasi.png	24,24	0,0
37.5217524	139.9392510	Node	944844752	takasi.png	24,24	0,0
37.5218478	139.9376242	Node	944844734	takasi.png	24,24	0,0
37.5248794	139.9371796	Node	1912565682	takasi.png	24,24	0,0
37.5248497	139.9371729	Node	1983927738	takasi.png	24,24	0,0
37.5247115	139.9371063	Node	1912565666	takasi.png	24,24	0,0
37.5238716	139.9369861	Node	1912565658	takasi.png	24,24	0,0
37.5247666	139.9372121	Node	944844759	takasi.png	24,24	0,0
37.5236971	139.9370739	Node	944844744	takasi.png	24,24	0,0
37.5237542	139.9363403	Node	944844745	takasi.png	24,24	0,0
37.5245473	139.9358832	Node	944844760	takasi.png	24,24	0,0
37.5248885	139.9359089	Node	944844761	takasi.png	24,24	0,0
37.5247666	139.9372121	Node	944844759	takasi.png	24,24	0,0
37.5219451	139.9375641	Node	944844730	takasi.png	24,24	0,0
37.5219955	139.9375705	Node	1998389054	takasi.png	24,24	0,0
37.5225406	139.9376316	Node	1912565645	takasi.png	24,24	0,0
37.5236883	139.9377634	Node	1295726099	takasi.png	24,24	0,0
37.5236286	139.9383784	Node	1295726101	takasi.png	24,24	0,0
37.5247324	139.9385236	Node	1998389068	takasi.png	24,24	0,0
37.5247611	139.9385323	Node	1295726100	takasi.png	24,24	0,0
37.5250708	139.9360817	Node	1919716752	takasi.png	24,24	0,0
37.5250694	139.9361252	Node	1919716751	takasi.png	24,24	0,0
37.5250360	139.9361234	Node	1919716749	takasi.png	24,24	0,0
37.5250374	139.9360800	Node	1919716750	takasi.png	24,24	0,0
37.5250708	139.9360817	Node	1919716752	takasi.png	24,24	0,0
37.5261059	139.9367906	Node	1919716807	takasi.png	24,24	0,0
37.5258520	139.9396442	Node	1919716792	takasi.png	24,24	0,0
37.5248869	139.9394958	Node	1919716741	takasi.png	24,24	0,0
37.5249634	139.9386053	Node	1919716746	takasi.png	24,24	0,0
37.5248219	139.9385886	Node	1919716738	takasi.png	24,24	0,0
37.5249955	139.9366230	Node	1919716748	takasi.png	24,24	0,0
37.5261059	139.9367906	Node	1919716807	takasi.png	24,24	0,0
37.5256759	139.9354300	Node	1919716783	takasi.png	24,24	0,0
37.5256224	139.9353906	Node	1919716780	takasi.png	24,24	0,0
37.5255641	139.9353608	Node	1919716778	takasi.png	24,24	0,0
37.5255368	139.9353528	Node	1920124221	takasi.png	24,24	0,0
37.5255017	139.9353501	Node	1919716776	takasi.png	24,24	0,0
37.5254706	139.9353566	Node	1920124212	takasi.png	24,24	0,0
37.5254318	139.9353724	Node	1919716774	takasi.png	24,24	0,0
37.5253963	139.9353980	Node	1920124194	takasi.png	24,24	0,0
37.5253711	139.9354191	Node	1919716770	takasi.png	24,24	0,0
37.5253183	139.9354687	Node	1919716763	takasi.png	24,24	0,0
37.5252727	139.9355186	Node	1919716756	takasi.png	24,24	0,0
37.5252503	139.9355740	Node	1919716754	takasi.png	24,24	0,0
37.5252999	139.9355720	Node	1920124169	takasi.png	24,24	0,0
37.5253197	139.9355402	Node	1920124174	takasi.png	24,24	0,0
37.5253542	139.9355218	Node	1920124183	takasi.png	24,24	0,0
37.5253880	139.9355250	Node	1920124190	takasi.png	24,24	0,0
37.5254175	139.9355402	Node	1920124202	takasi.png	24,24	0,0
37.5254406	139.9355590	Node	1920124205	takasi.png	24,24	0,0
37.5254583	139.9355934	Node	1919716753	takasi.png	24,24	0,0
37.5254491	139.9356378	Node	1920124208	takasi.png	24,24	0,0
37.5254166	139.9356534	Node	1920124201	takasi.png	24,24	0,0
37.5253797	139.9356537	Node	1920124186	takasi.png	24,24	0,0
37.5253536	139.9356338	Node	1920124182	takasi.png	24,24	0,0
37.5253048	139.9355839	Node	1920124172	takasi.png	24,24	0,0
37.5252513	139.9355862	Node	1919716755	takasi.png	24,24	0,0
37.5252570	139.9356679	Node	1983927744	takasi.png	24,24	0,0
37.5252733	139.9357521	Node	1919716757	takasi.png	24,24	0,0
37.5252955	139.9357880	Node	1919716758	takasi.png	24,24	0,0
37.5253331	139.9358285	Node	1919716765	takasi.png	24,24	0,0
37.5253553	139.9358516	Node	1919716766	takasi.png	24,24	0,0
37.5253704	139.9358744	Node	1919716769	takasi.png	24,24	0,0
37.5253773	139.9359028	Node	1919716772	takasi.png	24,24	0,0
37.5253764	139.9359317	Node	1919716771	takasi.png	24,24	0,0
37.5253573	139.9360010	Node	1919716768	takasi.png	24,24	0,0
37.5253181	139.9360999	Node	1919716762	takasi.png	24,24	0,0
37.5253017	139.9361499	Node	1920124170	takasi.png	24,24	0,0
37.5252957	139.9361964	Node	1919716759	takasi.png	24,24	0,0
37.5252969	139.9362301	Node	1919716760	takasi.png	24,24	0,0
