"edge_id","source","target","length","car","car reverse","bike","bike reverse","foot","WKT"
63,2325087973,2325087988,50.46326828,2,2,2,2,1,LINESTRING(139.928407 37.5112174,139.9284132 37.5116712)
64,2325087988,2325088007,60.2234077454,2,2,2,2,1,LINESTRING(139.9284132 37.5116712,139.9284112 37.5122128)
65,2325088007,2325088015,50.3001213074,2,2,2,2,1,LINESTRING(139.9284112 37.5122128,139.928402 37.5126651)
66,2325088015,2359711233,24.1230945587,2,2,2,2,1,LINESTRING(139.928402 37.5126651,139.9283965 37.512882)
67,2359711233,2325088022,7.61852073669,2,2,2,2,1,LINESTRING(139.9283965 37.512882,139.9283947 37.5129505)
68,2325088022,2325088041,35.0605697632,2,2,2,2,1,LINESTRING(139.9283947 37.5129505,139.9283745 37.5132654)
69,2325088041,2325088269,68.3076477051,2,2,2,2,1,LINESTRING(139.9283745 37.5132654,139.9283888 37.5138796)
70,2325088269,560275300,27.7925415039,2,2,2,2,1,LINESTRING(139.9283888 37.5138796,139.9283947 37.5141295)
71,560275300,2325088347,61.1005821228,2,2,2,2,1,LINESTRING(139.9283947 37.5141295,139.9281071 37.5146294)
72,2325088347,2325088454,80.1463699341,2,2,2,2,1,LINESTRING(139.9281071 37.5146294,139.9279975 37.51482,139.9277334 37.5152864)
73,2325088454,583541245,3.15722322464,2,2,2,2,1,LINESTRING(139.9277334 37.5152864,139.9277187 37.5153123)
74,583541245,2325088479,16.6759471893,2,2,2,2,1,LINESTRING(139.9277187 37.5153123,139.9276374 37.5154477)
75,2325088479,2359711251,26.7100753784,2,2,2,2,1,LINESTRING(139.9276374 37.5154477,139.927507 37.5156645)
76,2359711251,287195591,20.8805866241,2,2,2,2,1,LINESTRING(139.927507 37.5156645,139.9274051 37.515834)
77,287195591,583541236,103.189125061,2,2,2,2,1,LINESTRING(139.9274051 37.515834,139.9269353 37.5166839)
78,583541236,287195540,23.6447982788,2,2,2,2,1,LINESTRING(139.9269353 37.5166839,139.9268214 37.5168764)
79,287195540,566167579,20.2899627686,2,2,2,2,1,LINESTRING(139.9268214 37.5168764,139.9267221 37.517041)
80,566167579,256825041,98.4256973267,2,2,2,2,1,LINESTRING(139.9267221 37.517041,139.9262678 37.5178495)
81,256825041,256825382,12.0564088821,2,2,2,2,1,LINESTRING(139.9262678 37.5178495,139.9262104 37.5179479)
82,256825382,2087968003,127.003067017,2,2,2,2,1,LINESTRING(139.9262104 37.5179479,139.9256104 37.5189862)
83,2087968003,417273101,8.31375217438,2,2,2,2,1,LINESTRING(139.9256104 37.5189862,139.9255623 37.5190505)
84,417273101,2087968027,121.740814209,2,2,2,2,1,LINESTRING(139.9255623 37.5190505,139.9249522 37.5200326)
85,2087968027,2087968038,108.689430237,2,2,2,2,1,LINESTRING(139.9249522 37.5200326,139.9244418 37.5209223)
86,2087968038,592267212,57.9011154175,2,2,2,2,1,LINESTRING(139.9244418 37.5209223,139.9241214 37.5213768)
87,592267212,2087968046,23.7231903076,2,2,2,2,1,LINESTRING(139.9241214 37.5213768,139.9240081 37.5215703)
88,2087968046,2087911905,86.3625335693,2,2,2,2,1,LINESTRING(139.9240081 37.5215703,139.9235525 37.5222578)
89,2087911905,2087968074,91.3091049194,2,2,2,2,1,LINESTRING(139.9235525 37.5222578,139.9231029 37.5229975)
90,2087968074,2087968101,129.587158203,2,2,2,2,1,LINESTRING(139.9231029 37.5229975,139.9226592 37.5236537,139.9224408 37.5240372)
91,2087968101,2079555586,200.866088867,2,2,2,2,1,LINESTRING(139.9224408 37.5240372,139.9217646 37.5252334,139.9215201 37.5256894)
92,2079555586,592267188,101.287284851,2,2,2,2,1,LINESTRING(139.9215201 37.5256894,139.9210444 37.5265185)
93,567738073,558688697,54.1783676147,1,1,2,2,1,LINESTRING(139.9344369 37.5082528,139.9340943 37.5078484)
94,558688697,558688675,80.2289810181,1,1,2,2,1,LINESTRING(139.9340943 37.5078484,139.9340779 37.507127)
95,558688675,2484576264,47.1836090088,1,1,2,2,1,LINESTRING(139.9340779 37.507127,139.9340913 37.5067028)
96,2484576264,558688674,7.48485183716,1,1,2,2,1,LINESTRING(139.9340913 37.5067028,139.9340894 37.5066355)
97,558688674,2484576262,10.6666049957,1,1,2,2,1,LINESTRING(139.9340894 37.5066355,139.9340811 37.5065398)
98,2484576262,558688672,183.731552124,1,1,2,2,1,LINESTRING(139.9340811 37.5065398,139.9339621 37.5057774,139.93389 37.5053702,139.9342715 37.5050068)
99,560358057,2325087733,32.7164726257,1,1,2,2,1,LINESTRING(139.9277137 37.5076252,139.9273491 37.5075712)
100,2325087733,2325087719,18.091091156,1,1,2,2,1,LINESTRING(139.9273491 37.5075712,139.9271475 37.5075413)
101,2325087719,2089359991,19.0060367584,1,1,2,2,1,LINESTRING(139.9271475 37.5075413,139.9269357 37.5075099)
102,2089359991,2325087696,17.2591743469,1,1,2,2,1,LINESTRING(139.9269357 37.5075099,139.9267439 37.5074792)
103,2325087696,2325087674,21.7391471863,1,1,2,2,1,LINESTRING(139.9267439 37.5074792,139.9265023 37.5074406)
104,2325087674,2325087648,13.7966823578,1,1,2,2,1,LINESTRING(139.9265023 37.5074406,139.9263491 37.5074156)
105,2325087648,566112139,6.91595649719,1,1,2,2,1,LINESTRING(139.9263491 37.5074156,139.9262723 37.5074031)
106,566112139,2325087610,16.8808727264,1,1,2,2,1,LINESTRING(139.9262723 37.5074031,139.9260847 37.5073731)
107,2325087610,566112137,31.6850738525,1,1,2,2,1,LINESTRING(139.9260847 37.5073731,139.9257322 37.5073183)
108,566112137,566112132,36.3313293457,1,1,2,2,1,LINESTRING(139.9257322 37.5073183,139.9253279 37.5072559)
109,566112132,560358025,35.9321022034,1,1,2,2,1,LINESTRING(139.9253279 37.5072559,139.9249277 37.5071956)
110,560358025,2325086502,61.7524757385,1,1,2,2,1,LINESTRING(139.9249277 37.5071956,139.9250616 37.5066505)
111,2325086502,560358035,50.9345359802,1,1,2,2,1,LINESTRING(139.9250616 37.5066505,139.9251721 37.5062009)
112,583539077,583539079,78.8870620728,1,1,2,2,1,LINESTRING(139.9238814 37.5092768,139.9230025 37.5091455)
113,583539079,583538956,1300.13708496,1,1,2,2,1,LINESTRING(139.9230025 37.5091455,139.9217075 37.5089508,139.9206859 37.5088123,139.9203665 37.5087709,139.9200357 37.508728,139.9190655 37.5086021,139.9177685 37.5084215,139.9164749 37.5082439,139.9151332 37.5080603,139.9138008 37.5078795,139.9128678 37.5077523,139.9127946 37.5077423,139.912447 37.5076949,139.9111295 37.5075169,139.9102317 37.5073983,139.9094863 37.5072999,139.9084759 37.5071664)
114,560778413,2358241278,26.1014823914,1,1,2,2,1,LINESTRING(139.9441298 37.521298,139.9443214 37.5212074,139.9443771 37.5211701)
115,2358241278,2306550574,46.9292907715,1,1,2,2,1,LINESTRING(139.9443771 37.5211701,139.9444739 37.5211051,139.9445597 37.5210274,139.9446589 37.520921,139.9447256 37.5208534)
116,2306550574,2652585067,73.196144104,1,1,2,2,1,LINESTRING(139.9447256 37.5208534,139.9447784 37.520783,139.9449398 37.5205753,139.9451006 37.5203801,139.9451779 37.5203021)
117,2652585067,2652585052,15.9675111771,1,1,2,2,1,LINESTRING(139.9451779 37.5203021,139.9451974 37.5202825,139.9453029 37.5201984)
118,2652585052,560778428,43.4841346741,1,1,2,2,1,LINESTRING(139.9453029 37.5201984,139.9453501 37.5201607,139.9455122 37.5200471,139.9456891 37.5199577)
119,560778428,560778514,30.8196296692,1,1,2,2,1,LINESTRING(139.9456891 37.5199577,139.9456737 37.5196808)
120,560778514,1840712767,66.4024047852,1,1,2,2,1,LINESTRING(139.9456737 37.5196808,139.9456408 37.5190842)
121,1840712767,1840712759,93.3028259277,1,1,2,2,1,LINESTRING(139.9456408 37.5190842,139.9456312 37.5183408,139.9456429 37.5182456)
122,1840712759,2306550537,1575.40454102,1,1,2,2,1,LINESTRING(139.9456429 37.5182456,139.9456966 37.5181602,139.945738 37.5180795,139.9457969 37.5179915,139.9458727 37.5179187,139.9459513 37.5178611,139.9461046 37.5177837,139.9462892 37.5177069,139.9464743 37.5176393,139.9467026 37.5175555,139.9468784 37.5174852,139.9472796 37.517362,139.9474114 37.5173368,139.9475697 37.5173198,139.947712 37.5173118,139.9477841 37.5173113,139.9481304 37.5173663,139.9482727 37.517374,139.9485111 37.5173882,139.9487079 37.5173227,139.9489781 37.5171815,139.9491564 37.5170951,139.9495234 37.516918,139.9498769 37.5167491,139.9499046 37.5167356,139.9502672 37.5165844,139.9504656 37.5165149,139.9506553 37.5164665,139.9509816 37.5164193,139.9512665 37.5163849,139.951629 37.5163412,139.9517265 37.5163297,139.9521921 37.5162745,139.9522333 37.5162697,139.9524427 37.5162575,139.9525579 37.5162664,139.9526522 37.5162982,139.9528118 37.5163926,139.9528471 37.5164521,139.952889 37.5165226,139.9529284 37.5165764,139.9530875 37.5167939,139.9532659 37.5170705,139.9533003 37.5171049,139.9533448 37.517162,139.9533556 37.5172421,139.9533227 37.5173485,139.9532756 37.5174499,139.9532347 37.5174871,139.953165 37.5175506,139.9530554 37.5176256,139.9529305 37.5177129,139.9527496 37.5178605,139.952629 37.5180347,139.9524738 37.5183221,139.952336 37.5186206,139.9522483 37.518782,139.9521308 37.5189468,139.952056 37.5190028,139.9519558 37.5190791,139.9517769 37.519186,139.9515692 37.5192974,139.9514801 37.5193434,139.9513387 37.5194165,139.9512832 37.51945,139.9512268 37.519477,139.9511083 37.5195184,139.9509467 37.5195599,139.9507016 37.5196096,139.9505281 37.5196404,139.9502575 37.5196954,139.9500453 37.5197611,139.9499116 37.5199194,139.9498081 37.5200262,139.9496843 37.5201555,139.9496086 37.5202185,139.9495235 37.5202772,139.9494088 37.5203427,139.9493411 37.5203742,139.9491962 37.5204211,139.9490665 37.5204553,139.9489405 37.5204717,139.9489014 37.5204741,139.9488229 37.520479,139.9480035 37.5204949,139.947583 37.5204975,139.9473692 37.5205058,139.9472285 37.5205015,139.947145 37.5204892,139.9469242 37.5204388,139.9467219 37.5203643,139.9466569 37.5203445)
123,2306550537,560778428,95.5774993896,1,1,2,2,1,LINESTRING(139.9466569 37.5203445,139.9456891 37.5199577)
124,2089360191,560778600,40.1602134705,1,1,2,2,1,LINESTRING(139.9401213 37.5142913,139.9405765 37.5143)
125,560778600,1738735501,90.3442459106,1,1,2,2,1,LINESTRING(139.9405765 37.5143,139.9416006 37.5143165)
126,1738735501,2484551416,48.7531890869,1,1,2,2,1,LINESTRING(139.9416006 37.5143165,139.9419001 37.5143667,139.942065 37.5144211,139.94212 37.5144529)
127,2484551416,560778621,15.9973726273,1,1,2,2,1,LINESTRING(139.94212 37.5144529,139.942208 37.5145787)
128,560783283,560783290,248.887542725,1,1,2,2,1,LINESTRING(139.9472783 37.5100055,139.9471714 37.5100237,139.9461139 37.5100841,139.9455013 37.5101191,139.9444679 37.510196)
129,560778593,2484551425,12.1865272522,1,1,2,2,1,LINESTRING(139.9415935 37.5165692,139.9414606 37.5165392)
130,2484551425,1979236233,53.3712005615,1,1,2,2,1,LINESTRING(139.9414606 37.5165392,139.9413831 37.5165005,139.9413581 37.5164534,139.9413641 37.5160972)
131,1979236233,1979236223,48.2132720947,1,1,2,2,1,LINESTRING(139.9413641 37.5160972,139.9413561 37.5157701,139.9413059 37.5156714)
132,1979236223,2312611045,5.87526035309,1,1,2,2,1,LINESTRING(139.9413059 37.5156714,139.9412714 37.5156262)
133,2312611045,560778600,159.696914673,1,1,2,2,1,LINESTRING(139.9412714 37.5156262,139.9406981 37.5145365,139.9405765 37.5143)
134,560783299,2314271571,59.5463829041,1,1,2,2,1,LINESTRING(139.9400059 37.5105923,139.9406769 37.5105334)
135,2314271571,2314271565,12.2286100388,1,1,2,2,1,LINESTRING(139.9406769 37.5105334,139.9408147 37.5105213)
136,2314271565,2484551402,91.1777267456,1,1,2,2,1,LINESTRING(139.9408147 37.5105213,139.9418426 37.5104345)
137,2484551402,560783308,9.36449050903,1,1,2,2,1,LINESTRING(139.9418426 37.5104345,139.9419487 37.5104314)
138,563397439,558688675,85.0162963867,1,1,2,2,1,LINESTRING(139.9331525 37.5073407,139.9340779 37.507127)
139,566112132,566112133,112.174880981,1,1,2,2,1,LINESTRING(139.9253279 37.5072559,139.9255678 37.5062652)
140,566167579,2359711270,107.005432129,1,1,2,2,1,LINESTRING(139.9267221 37.517041,139.9255267 37.5168765)
141,2359711270,2359711268,77.5288391113,1,1,2,2,1,LINESTRING(139.9255267 37.5168765,139.9246606 37.5167573)
142,2359711268,583541233,56.3414611816,1,1,2,2,1,LINESTRING(139.9246606 37.5167573,139.9244608 37.5167298,139.9240311 37.5166711)
143,583541233,583541243,180.171432495,1,1,2,2,1,LINESTRING(139.9240311 37.5166711,139.9220189 37.5163916)
144,583541243,583541162,49.5326690674,1,1,2,2,1,LINESTRING(139.9220189 37.5163916,139.9214652 37.5163171)
